lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
48-670,LA4029,0.019595223388654298,27.0,61.5,1126.2,1126.2,1.6879128644226475,37.371682360783446,50.03117480554016,708.7295100588512,0.4770631581641075,0.11557584649914474,paraxial
36-690,48-026,0.019593388535755575,27.0,54.5,137.63,137.63,1.3125619247572988,42.86884022126738,33.35411653702677,33.35411653702677,0.6276729042875324,0.0878352642888084,paraxial
36-686,LA4003,0.019588874395473677,27.0,76.375,149.475,149.475,5.495981459124028,12.865241812342756,22.514937989552422,29.098465899259995,0.05651786539624539,0.9752511559798216,paraxial
45-690,48-668,0.01957875972289405,27.0,47.5,87.5,87.5,3.725782475091412,2.177583848858759,7.511041510246487,15.003896479305935,0.13306951421876873,0.4139990534310719,paraxial
48-280,LA4001,0.01955690225462666,47.0,299.88,335.88,335.88,0.726647441655893,52.3005765944269,166.7342096027598,12.548713419055874,0.9325097492627988,0.059011876813832256,paraxial
48-027,LA4030,0.019547355216501257,57.0,84.9,1962.0,1962.0,1.0979597121068039,46.409499015061265,41.68355240068995,1250.688437432569,0.7339088551747486,0.07494430219411034,paraxial
22-845,36-684,0.019545935222234027,27.0,57.25,203.75,203.75,4.9420913136734335,7.311726878558782,24.412571762574714,60.03377245841078,0.07249821488258262,0.7586158023172401,paraxial
23-815,36-684,0.019545935222234027,27.0,57.25,203.75,203.75,4.9420913136734335,7.311726878558782,24.412571762574714,60.03377245841078,0.07249821488258262,0.7586158023172401,paraxial
48-273,49-964,0.019532442996092688,27.0,110.25,273.25,273.25,5.472580267620029,11.771363003140122,31.680954747819328,66.70823307405354,0.05709841166473699,0.9625543944842458,paraxial
84-283,LA4337,0.01953021323098409,27.0,153.0,2163.7,2163.7,0.1842056258619984,42.23924658502352,50.03117480554016,836.7627600155953,0.6074068333218812,0.09047322148044827,paraxial
